COUNTY,Date,CASE_STATUS,Cases,Deaths,Cases.Cumulative,Deaths.Cumulative,Updated
Alcona,6/7/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/8/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/9/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/10/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/11/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/12/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/13/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/14/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/15/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/16/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/17/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/18/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/19/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/20/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/21/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/22/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/23/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/24/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/25/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/26/20,Confirmed,0,0,18,1,2020/08/01 12:26:06
Alcona,6/27/20,Confirmed,1,0,19,1,2020/08/01 12:26:06
Alcona,6/28/20,Confirmed,0,0,19,1,2020/08/01 12:26:06
Alcona,6/29/20,Confirmed,0,0,19,1,2020/08/01 12:26:06
Alcona,6/30/20,Confirmed,0,0,19,1,2020/08/01 12:26:06
Alcona,7/1/20,Confirmed,0,0,19,1,2020/08/01 12:26:06
Alcona,7/2/20,Confirmed,0,0,19,1,2020/08/01 12:26:06
Alcona,7/3/20,Confirmed,1,0,20,1,2020/08/01 12:26:06
Alcona,7/4/20,Confirmed,0,0,20,1,2020/08/01 12:26:06
Alcona,7/5/20,Confirmed,1,0,21,1,2020/08/01 12:26:06
Alcona,7/6/20,Confirmed,0,0,21,1,2020/08/01 12:26:06
Alcona,7/7/20,Confirmed,0,0,21,1,2020/08/01 12:26:06
Alcona,7/8/20,Confirmed,0,0,21,1,2020/08/01 12:26:06
Alcona,7/9/20,Confirmed,1,0,22,1,2020/08/01 12:26:06
Alcona,7/10/20,Confirmed,0,0,22,1,2020/08/01 12:26:06
Alcona,7/11/20,Confirmed,0,0,22,1,2020/08/01 12:26:06
Alcona,7/12/20,Confirmed,0,0,22,1,2020/08/01 12:26:06
Alcona,7/13/20,Confirmed,1,0,23,1,2020/08/01 12:26:06
Alcona,7/14/20,Confirmed,0,0,23,1,2020/08/01 12:26:06
Alcona,7/15/20,Confirmed,0,0,23,1,2020/08/01 12:26:06
Alcona,7/16/20,Confirmed,0,0,23,1,2020/08/01 12:26:06
Alcona,7/17/20,Confirmed,0,0,23,1,2020/08/01 12:26:06
Alcona,7/18/20,Confirmed,0,0,23,1,2020/08/01 12:26:06
Alcona,7/19/20,Confirmed,0,0,23,1,2020/08/01 12:26:06
Alcona,7/20/20,Confirmed,0,0,23,1,2020/08/01 12:26:06
Alcona,7/21/20,Confirmed,0,0,23,1,2020/08/01 12:26:06
Alcona,7/22/20,Confirmed,0,0,23,1,2020/08/01 12:26:06
Alcona,7/23/20,Confirmed,0,0,23,1,2020/08/01 12:26:06
Alcona,7/24/20,Confirmed,0,0,23,1,2020/08/01 12:26:06
